Wavelength,Illy,Mucilago,Cafeina,Ox,Mi,Ch,Go,Verde
200,0.6345442773896177,0.6139086514665341,0.5067130301625603,0.5977508911538557,0.5847951389581358,0.5797292566066314,0.579250579521127,0.5736584465178504
201,0.63708846982893,0.6217794462423865,0.5083512905227533,0.6011527034325725,0.585903343913302,0.5799575228568571,0.5816446079327147,0.5793219585561913
202,0.6420517836208861,0.6201135644313094,0.5085559584908911,0.5987131906954177,0.5881379664838496,0.5781183255038278,0.5813939476472236,0.5795174651153788
203,0.6484668878613224,0.6271048607285421,0.5110960259526558,0.6061104289155856,0.5917605154522816,0.5810741999850286,0.5840930269514146,0.5784407239323721
204,0.6556518814646837,0.630644144767242,0.5140842673432419,0.6079927056107516,0.5915233161973734,0.5842068374958003,0.583699799695334,0.5801998069502491
205,0.6527957194746957,0.6366130273752691,0.5153968375343917,0.6104828176146677,0.5938345887903639,0.5862427947005837,0.5854644128111104,0.5830419977789821
206,0.6622911484845329,0.6387638349731778,0.5190157405433624,0.6116331425050997,0.596611178989765,0.5875501923563106,0.5865540926067034,0.5846740479814102
207,0.667368311741093,0.6450172532626967,0.5213146393586531,0.6134834143190625,0.5975352735855429,0.5879886971120021,0.5879574854276406,0.5873670561829071
208,0.6715916170059744,0.6487648929810411,0.5242332511891686,0.6183651293036377,0.5992373610031163,0.5908688594406905,0.5901132180647186,0.5861796778271036
209,0.679816362458085,0.653186944131428,0.52688814233264,0.6210067338842439,0.6013129140011301,0.5895642121226609,0.5908567054891614,0.5897002727384099
210,0.6871846181704805,0.6609999530089307,0.5315185477033996,0.626714127227088,0.6050661605371191,0.5931277952227123,0.5937881064131523,0.5903052959639619
211,0.6878724736442363,0.6625440109334911,0.53142183839257,0.6282027122764786,0.6047899823593513,0.592233291083308,0.5933042045346426,0.5928946875435916
212,0.6911087257058952,0.6669516867055886,0.5351581728962971,0.6294668784199062,0.6064971885331291,0.5922342196081338,0.5951705770893054,0.5931221143885355
213,0.6945326383503285,0.6705384961284911,0.5372038970089366,0.6300577937027485,0.6076238605933091,0.5930994182366316,0.5961018792015427,0.5945622581955726
214,0.6986341103341873,0.6720816127838055,0.5398605377290517,0.629979685108514,0.6081924971056033,0.5917029837261503,0.5956135800201533,0.5932281213728027
215,0.7015367833969262,0.6768984760902038,0.5418598920946304,0.6315743670480188,0.6074225523473666,0.5935149895091021,0.595108423174083,0.5955365900517725
216,0.7025573893388509,0.679608886493673,0.5454134816142938,0.6332794473408517,0.6080718600493668,0.5946000791278334,0.5963167751169532,0.5958333289709299
217,0.7033740306610995,0.6815968843341892,0.545395939907622,0.6360432610606968,0.6083650643591044,0.5936007253102421,0.5962458152022054,0.5965690353934072
218,0.7066740498249935,0.6840913888612231,0.5465388050791734,0.6375418136652844,0.6101202178887275,0.5969874775726941,0.5980449950110143,0.5973993388558833
